1   209203
2   106209
3   71939
4   54893
5   44770
6   38105
7   33440
8   30155
9   27673
10  25751
11  24179
12  22977
13  22027
14  21236
15  20625
16  20112
17  19709
18  19381
19  19107
20  18924
21  18770
22  18654
23  18580
24  18524
